rt;duser;group;dhost;src;LogonType
2020-02-02 01:09:00;Lindsay;admin;SRV5;10.1.0.129;10
2020-02-02 02:00:00;Paulette;admin;DS;0.0.0.0;3
2020-02-02 04:14:00;Paulette;admin;PC1;0.0.0.0;3
2020-02-02 06:32:00;Paulette;admin;PC2;0.0.0.0;3
2020-02-02 08:52:00;Paulette;admin;PC3;0.0.0.0;3
2020-02-02 09:01:00;Tony;buh;SRV1;0.0.0.0;3
2020-02-02 09:03:00;Joel;buh;SRV1;0.0.0.0;3
2020-02-02 09:07:00;Dre;supp;PC4;0.0.0.0;3
2020-02-02 09:08:00;Rachel;supp;PC3;0.0.0.0;3
2020-02-02 09:11:00;Josh;buh;SRV1;0.0.0.0;3
2020-02-02 09:17:00;Jonathan;compl;PC1;0.0.0.0;3
2020-02-02 09:23:00;Lena;buh;SRV1;0.0.0.0;3
2020-02-02 09:36:00;Kehlani;supp;PC4;0.0.0.0;3
2020-02-02 09:38:00;Joanna;buh;SRV1;0.0.0.0;3
2020-02-02 09:41:00;Moriah;log;PC2;0.0.0.0;3
2020-02-02 09:56:00;Tonya;buh;SRV1;0.0.0.0;3
2020-02-02 09:59:00;Max;buh;SRV1;0.0.0.0;3
2020-02-02 10:14:00;Clara;admin;PC4;0.0.0.0;3
2020-02-02 11:12:00;Zoë;buh;SRV1;0.0.0.0;3
2020-02-02 11:14:00;Jordon;supp;PC3;0.0.0.0;3
2020-02-02 11:18:00;Freya;log;PC2;0.0.0.0;3
2020-02-02 11:30:00;Nicky;buh;SRV1;0.0.0.0;3
2020-02-02 11:30:00;Vlad;buh;SRV1;0.0.0.0;3
2020-02-02 11:31:00;Mario;compl;PC1;0.0.0.0;3
2020-02-02 11:34:00;Martin;buh;SRV1;0.0.0.0;3
2020-02-02 11:36:00;Bradly;buh;SRV1;0.0.0.0;3
2020-02-02 11:43:00;Jordana;buh;SRV1;0.0.0.0;3
2020-02-02 11:44:00;Kayleah;supp;PC4;0.0.0.0;3
2020-02-02 11:53:00;PeterB;log;PC2;0.0.0.0;3
2020-02-02 11:56:00;Jonelle;buh;SRV1;0.0.0.0;3
2020-02-02 12:37:00;Clara;admin;PC5;0.0.0.0;3
2020-02-02 13:00:00;Vlad;buh;SRV1;0.0.0.0;3
2020-02-02 13:04:00;Bradly;buh;SRV1;0.0.0.0;3
2020-02-02 13:06:00;Mario;compl;PC1;0.0.0.0;3
2020-02-02 13:06:00;Martin;buh;SRV1;0.0.0.0;3
2020-02-02 13:16:00;Jordana;buh;SRV1;0.0.0.0;3
2020-02-02 13:22:00;Kayleah;supp;PC4;0.0.0.0;3
2020-02-02 13:29:00;PeterB;log;PC2;0.0.0.0;3
2020-02-02 13:30:00;Jonelle;buh;SRV1;0.0.0.0;3
2020-02-02 13:47:00;Zoë;buh;SRV1;0.0.0.0;3
2020-02-02 13:51:00;Jordon;supp;PC3;0.0.0.0;3
2020-02-02 13:54:00;Freya;log;PC2;0.0.0.0;3
2020-02-02 13:59:00;Nicky;buh;SRV1;0.0.0.0;3
2020-02-02 14:00:00;Clara;admin;PC6;0.0.0.0;3
2020-02-02 15:04:00;Joanna;buh;SRV1;0.0.0.0;3
2020-02-02 15:05:00;Moriah;log;PC2;0.0.0.0;3
2020-02-02 15:21:00;Tonya;buh;SRV1;0.0.0.0;3
2020-02-02 15:29:00;Dre;supp;PC4;0.0.0.0;3
2020-02-02 15:29:00;Max;buh;SRV1;0.0.0.0;3
2020-02-02 15:31:00;Rachel;supp;PC3;0.0.0.0;3
2020-02-02 15:32:00;Joel;buh;SRV1;0.0.0.0;3
2020-02-02 15:32:00;Tony;buh;SRV1;0.0.0.0;3
2020-02-02 15:38:00;Josh;buh;SRV1;0.0.0.0;3
2020-02-02 15:42:00;Jonathan;compl;PC1;0.0.0.0;3
